threads,averageMilliseconds
2,0.91769999999999996
3,1.48976
4,1.93024
5,3.7282400000000004
6,3.2119799999999996
7,3.9413400000000003
8,4.1137199999999998
9,4.4219600000000003
10,4.3615000000000004
11,4.4257800000000005
12,5.2437799999999992
13,5.4388199999999998
14,5.4834199999999997
15,5.8674600000000003
16,6.3402399999999997
